id,x,y,BIO4,BIO8,BI12,BI18,ALTI,BIO1,BI15,BIO2
100,-19.152,65.86,4383.018182,-23.21818182,862,181.7272727,598.8525289,2.472727273,19.83636364,60.61818182
101,-18.162,66.049,4264.708333,-17.45833333,752.6666667,156.0833333,337.2449982,7.041666667,22.66666667,64.5
102,-18.733,66.037,4328.085714,-19.02857143,778.1714286,162.2,393.997406,5.8,21.51428571,62.77142857
103,-22.306,66.217,4507.510204,-21.83673469,931.4897959,184.4489796,379.0844299,4.204081633,21,53.83673469
104,-21.943,66.183,4506.666667,-13.16666667,833.1111111,164.3888889,188.7973785,12.61111111,21.72222222,54
105,-22.717,66.208,4405.225806,-18,994.2903226,195,322.7409261,7.774193548,21.48387097,53.19354839
106,-22.399,66.368,4512.142857,-16.28571429,898.4285714,176.3571429,336.0660553,9.571428571,21.92857143,53.92857143
107,-22.749,66.386,4444.04,-16.76,973.08,190.48,217.2955577,9.12,21.88,53.64
108,-20.134,66.023,4385.4,-4.56,745.28,151.72,111.6099777,20.32,21.76,57.04
109,-21.502,65.677,4367.333333,-3.083333333,806.25,159.9166667,160.2308655,22.41666667,21.41666667,52.91666667
110,-21.468,65.862,4459.941176,-14.76470588,847.3529412,169.8529412,381.4709396,10.97058824,20.70588235,53.94117647
111,-21.512,66.01,4471.25,-8.666666667,794.3333333,157.6666667,41.68283349,17.08333333,21.66666667,54
112,-23.28,66.177,4219.909091,-21.81818182,1095.545455,212.6363636,-22.59606059,14.63636364,22.18181818,52.63636364
113,-23.044,66.371,4318,-8.5,1003.166667,194.5,206.0925536,17.16666667,22.66666667,53
114,-24.069,65.52,3844.666667,-14.74074074,1241.962963,239.6666667,194.7066269,28.11111111,21.92592593,49.88888889
115,-23.671,65.655,3887.166667,-17.66666667,1233.8,236.9666667,265.0865662,25.4,22.23333333,50.26666667
116,-23.18,65.671,4068.333333,-7.833333333,1119.52381,216.2380952,354.5110703,18.19047619,21.64285714,50.61904762
117,-23.192,65.861,4176.769231,-30.13461538,1167.096154,228.1346154,484.1459452,7.711538462,21,51.84615385
118,-23.614,65.855,3965.918919,-23.62162162,1241.405405,239.6486486,289.7998932,20.21621622,22.13513514,51.13513514
119,-23.217,66.037,4169.432432,-25.62162162,1135.675676,220.7297297,381.5465742,12.89189189,21.7027027,52.02702703
120,-23.587,66.029,4052.259259,-28.07407407,1223.740741,237.0740741,272.5062592,16.66666667,22.03703704,51.85185185
121,-24.396,65.526,3856,-15,1235.5,239.75,87.42547321,28,21.75,50
122,-24.022,65.671,3905.055556,-22.16666667,1271.388889,246.6111111,215.7651428,21.27777778,21.61111111,50.38888889
123,-23.67,65.512,3889.529412,-16.11764706,1227.5,236.1470588,328.3181458,24.29411765,21.85294118,49.79411765
124,-23.242,65.545,4002.333333,-2.933333333,1095.733333,209.8666667,193.8090096,25.2,22.13333333,49.86666667
125,-23.7,64.79,3843.882353,0.470588235,1203.529412,233.1764706,291.1163063,26.64705882,20.58823529,47.76470588
126,-23.185,64.901,3986.529412,4.588235294,1053.088235,202.6176471,195.5371946,27.94117647,21.11764706,47.70588235
127,-23.63,64.875,3851.272727,5.863636364,1175.681818,226.6363636,312.1918259,28.68181818,20.95454545,47.86363636
128,-23.943,64.868,3715.5,19.83333333,1154.833333,220.6666667,273.1752195,41.66666667,21.83333333,47.5
129,-16.376,66.409,3940.923077,0.384615385,742.0769231,149.5769231,62.11474323,20.46153846,26.07692308,60.34615385
130,-16.038,66.396,3939.081081,-0.594594595,773.2972973,156.0810811,91.44649353,19.35135135,26.18918919,59.37837838
131,-14.768,66.351,3855.833333,28.16666667,963.1666667,197.5,47.17173958,21.16666667,23.83333333,55.33333333
132,-14.752,65.994,3808.5,24.6,1068.5,220.4,130.079711,18.1,22.7,55
